node,is_victim,pagerank,victim_connection_weight,degree,strength,role,story_title,story_index
Inspector Pallavi,0,0.0679006080975311,0,2,5.0,Other,Silver Blaze,76
Kajol Santhosh,0,0.1562116080959253,0,5,14.0,Culprit,Silver Blaze,76
Krish Kiran,0,0.0767540481667904,0,2,7.0,Other,Silver Blaze,76
Kriti,0,0.0637812604461763,0,3,5.0,Other,Silver Blaze,76
Lavanya,0,0.0293333486666405,0,1,2.0,Other,Silver Blaze,76
Leena,0,0.0218512801341558,0,1,1.0,Other,Silver Blaze,76
Mr. Chaitanya Ronit,0,0.0666666666666666,0,1,1.0,Other,Silver Blaze,76
Mr. Prerna,0,0.0895540853484702,0,4,6.0,Other,Silver Blaze,76
Mr. Sanjeev Shubham,0,0.0684589450313825,0,4,4.0,Other,Silver Blaze,76
Roshan,0,0.0426919700508063,0,2,2.0,Other,Silver Blaze,76
Sunny Kuldeep,0,0.1023523954417179,0,4,9.0,Other,Silver Blaze,76
Vicky Pranav,0,0.0697122007958463,0,3,5.0,Other,Silver Blaze,76
Henry,0,0.0588235294117647,0,1,1.0,Victim,The Crooked Man,89
Jackson Barclay,0,0.0178428242030026,0,1,1.0,Victim,The Crooked Man,89
James,0,0.0588235294117647,0,1,1.0,Other,The Crooked Man,89
Jane,0,0.0588235294117647,0,1,1.0,Other,The Crooked Man,89
Miss Harry,0,0.0268621189942405,0,1,2.0,Other,The Crooked Man,89
Miss Simpson Bathsheba,0,0.0457576831905825,0,2,4.0,Other,The Crooked Man,89
Murphy,0,0.0588235294117647,0,1,1.0,Other,The Crooked Man,89
Nancy,0,0.0588235294117647,0,1,1.0,Other,The Crooked Man,89
Neill Bhurtee,0,0.0291680397834229,0,2,2.0,Other,The Crooked Man,89
Samuel David,0,0.0285960210665826,0,2,2.0,Other,The Crooked Man,89
Sherlock,0,0.0707274165774264,0,4,6.0,Other,The Crooked Man,89
Sherlock David,0,0.0728805455980515,0,4,6.0,Other,The Crooked Man,89
Simpson,0,0.0778063771498456,0,4,7.0,Other,The Crooked Man,89
Teddy,0,0.0455643724657879,0,3,4.0,Other,The Crooked Man,89
Watson,0,0.0833047680655085,0,3,8.0,Other,The Crooked Man,89
Watson Morrison,0,0.14854865643496,0,6,14.0,Culprit,The Crooked Man,89
devoy,0,0.0588235294117647,0,1,1.0,Other,The Crooked Man,89
